ano,Estado,Produção,Longitude,Latitude,
1940,Rondônia,0,-11.474053,-62.226545,
1950,Rondônia,1,-11.474053,-62.226545,
1960,Rondônia,0,-11.474053,-62.226545,
1970,Rondônia,0,-11.474053,-62.226545,
1975,Rondônia,66,-11.474053,-62.226545,
1980,Rondônia,14,-11.474053,-62.226545,
1985,Rondônia,1257,-11.474053,-62.226545,
1995,Rondônia,1504,-11.474053,-62.226545,
2006,Rondônia,150567,-11.474053,-62.226545,
2017,Rondônia,800293,-11.474053,-62.226545,
1940,Acre,0,-9.49865,-69.629581,
1950,Acre,0,-9.49865,-69.629581,
1960,Acre,0,-9.49865,-69.629581,
1970,Acre,0,-9.49865,-69.629581,
1975,Acre,0,-9.49865,-69.629581,
1980,Acre,0,-9.49865,-69.629581,
1985,Acre,1,-9.49865,-69.629581,
1995,Acre,14,-9.49865,-69.629581,
2006,Acre,325,-9.49865,-69.629581,
2017,Acre,1500,-9.49865,-69.629581,
1940,Amazonas,0,-3.976318,-64.399382,
1950,Amazonas,0,-3.976318,-64.399382,
1960,Amazonas,0,-3.976318,-64.399382,
1970,Amazonas,0,-3.976318,-64.399382,
1975,Amazonas,0,-3.976318,-64.399382,
1980,Amazonas,0,-3.976318,-64.399382,
1985,Amazonas,12,-3.976318,-64.399382,
1995,Amazonas,27,-3.976318,-64.399382,
2006,Amazonas,0,-3.976318,-64.399382,
2017,Amazonas,1200,-3.976318,-64.399382,
1940,Roraima,0,2.148823,-61.412437,
1950,Roraima,0,2.148823,-61.412437,
1960,Roraima,0,2.148823,-61.412437,
1970,Roraima,0,2.148823,-61.412437,
1975,Roraima,0,2.148823,-61.412437,
1980,Roraima,0,2.148823,-61.412437,
1985,Roraima,21,2.148823,-61.412437,
1995,Roraima,669,2.148823,-61.412437,
2006,Roraima,11005,2.148823,-61.412437,
2017,Roraima,80358,2.148823,-61.412437,
1940,Pará,0,-4.239015,-52.218322,
1950,Pará,0,-4.239015,-52.218322,
1960,Pará,0,-4.239015,-52.218322,
1970,Pará,1,-4.239015,-52.218322,
1975,Pará,0,-4.239015,-52.218322,
1980,Pará,12,-4.239015,-52.218322,
1985,Pará,326,-4.239015,-52.218322,
1995,Pará,221,-4.239015,-52.218322,
2006,Pará,58635,-4.239015,-52.218322,
2017,Pará,1155228,-4.239015,-52.218322,
1940,Amapá,0,2.406605,-51.428199,
1950,Amapá,0,2.406605,-51.428199,
1960,Amapá,0,2.406605,-51.428199,
1970,Amapá,0,2.406605,-51.428199,
1975,Amapá,0,2.406605,-51.428199,
1980,Amapá,0,2.406605,-51.428199,
1985,Amapá,0,2.406605,-51.428199,
1995,Amapá,0,2.406605,-51.428199,
2006,Amapá,128,2.406605,-51.428199,
2017,Amapá,33482,2.406605,-51.428199,
1940,Tocantins,0,-9.596869,-48.201864,
1950,Tocantins,0,-9.596869,-48.201864,
1960,Tocantins,0,-9.596869,-48.201864,
1970,Tocantins,0,-9.596869,-48.201864,
1975,Tocantins,0,-9.596869,-48.201864,
1980,Tocantins,0,-9.596869,-48.201864,
1985,Tocantins,30034,-9.596869,-48.201864,
1995,Tocantins,14097,-9.596869,-48.201864,
2006,Tocantins,546525,-9.596869,-48.201864,
2017,Tocantins,2017693,-9.596869,-48.201864,
1940,Maranhão,0,-4.042,-45.107216,
1950,Maranhão,0,-4.042,-45.107216,
1960,Maranhão,0,-4.042,-45.107216,
1970,Maranhão,0,-4.042,-45.107216,
1975,Maranhão,22,-4.042,-45.107216,
1980,Maranhão,92,-4.042,-45.107216,
1985,Maranhão,8089,-4.042,-45.107216,
1995,Maranhão,135123,-4.042,-45.107216,
2006,Maranhão,786174,-4.042,-45.107216,
2017,Maranhão,1939221,-4.042,-45.107216,
1940,Piauí,0,-6.995318,-41.807852,
1950,Piauí,0,-6.995318,-41.807852,
1960,Piauí,0,-6.995318,-41.807852,
1970,Piauí,0,-6.995318,-41.807852,
1975,Piauí,5,-6.995318,-41.807852,
1980,Piauí,0,-6.995318,-41.807852,
1985,Piauí,142,-6.995318,-41.807852,
1995,Piauí,20293,-6.995318,-41.807852,
2006,Piauí,577705,-6.995318,-41.807852,
2017,Piauí,1981892,-6.995318,-41.807852,
1940,Ceará,0,-4.354732,-39.712723,
1950,Ceará,0,-4.354732,-39.712723,
1960,Ceará,0,-4.354732,-39.712723,
1970,Ceará,0,-4.354732,-39.712723,
1975,Ceará,12,-4.354732,-39.712723,
1980,Ceará,0,-4.354732,-39.712723,
1985,Ceará,18,-4.354732,-39.712723,
1995,Ceará,61,-4.354732,-39.712723,
